timestamp,avg_price,avg_market_cap,avg_volume,avg_24h_price_change_pct,anomaly,anomaly_label
2025-06-03 21:33:49.723,106723.28639087187,2120977924896.9663,26170145731.546818,-1.1966067037787464,1,Normal
2025-06-03 22:34:48.414,106181.7181167179,2110480983053.605,26784325786.08647,-1.1966067037787464,1,Normal
2025-06-03 23:33:33.083,105959.60861064511,2105832254961.2288,24242811377.85449,-1.1966067037787464,1,Normal
2025-06-04 00:38:25.921,106061.04647803256,2107790330356.5303,26908170275.989506,-1.1966067037787464,1,Normal
2025-06-04 01:33:30.957,106277.44088744238,2112302767117.2627,27145566384.598278,-1.1966067037787464,1,Normal
2025-06-04 02:34:00.180,105835.64102101928,2103383827184.6272,27290656082.363388,-1.1966067037787464,1,Normal
2025-06-04 03:33:53.659,105547.55081894307,2097643053433.8535,27217071370.405235,-1.1966067037787464,1,Normal
2025-06-04 04:31:43.583,105861.43112119468,2104530574433.3708,26282823034.553883,-1.1966067037787464,1,Normal
2025-06-04 05:34:10.820,105430.86066799659,2095337142150.1892,25728727074.632504,-1.1966067037787464,1,Normal
2025-06-04 06:33:40.843,105410.06700957082,2094769856317.524,25628997991.222458,-1.1966067037787464,1,Normal
2025-06-04 07:31:08.535,105613.321033883,2098820081955.042,25262422286.52763,-1.1966067037787464,1,Normal
2025-06-04 08:34:21.251,105577.08330468582,2098229849539.337,24838556482.794006,-1.1966067037787464,1,Normal
2025-06-04 09:32:49.956,105640.83579860737,2099826212653.526,22520532645.51715,-1.1966067037787464,1,Normal
2025-06-04 10:33:23.940,105481.7041495444,2096408438668.6348,24049154053.375576,-1.1966067037787464,1,Normal
2025-06-04 11:33:26.314,105447.5957079321,2095678182439.6536,24758321021.22059,-1.1966067037787464,1,Normal
2025-06-04 12:33:48.003,105392.25055909126,2094638844345.3013,24950408208.82043,-1.1966067037787464,1,Normal
2025-06-04 13:31:33.799,105407.10634156673,2094945424711.455,24727368073.75544,-1.1966067037787464,1,Normal
2025-06-04 14:33:49.310,105513.53836423514,2097128086150.7874,24629670035.60082,-1.1966067037787464,1,Normal
2025-06-04 15:33:13.851,105760.43175456114,2101344211556.3022,25431359764.781746,-1.1966067037787464,1,Normal
2025-06-04 16:33:22.376,105743.91929315783,2101528686452.6602,25711357584.815033,-1.1966067037787464,1,Normal
2025-06-04 17:33:23.673,105281.38636030082,2092528800887.3704,25057114312.524685,-1.1966067037787464,1,Normal
2025-06-04 18:33:38.185,105024.79619693328,2087251067261.5166,28445006263.638466,-1.1966067037787464,1,Normal
2025-06-04 19:33:45.148,104956.67962695676,2087507792562.914,28455188892.538795,-1.1966067037787464,1,Normal
2025-06-04 20:33:34.033,104892.18949513155,2084566134693.7341,28405617117.71668,-1.1966067037787464,1,Normal
2025-06-04 21:34:05.398,105446.22839142571,2096260134494.174,25398631488.773777,-1.1966067037787464,1,Normal
2025-06-04 22:33:44.745,105465.20103829549,2095668991115.6423,27326872770.12449,-0.6748026789647366,1,Normal
2025-06-04 23:31:03.580,105130.27736663017,2089440518743.8416,26950250803.258404,-0.782686209291672,1,Normal
2025-06-05 00:33:44.837,105081.49665184232,2088621693598.601,26796255267.125767,-0.9235717152697775,1,Normal
2025-06-05 01:33:22.803,105046.66272948279,2087970668667.5051,26262059083.34572,-1.1580803486443525,1,Normal
2025-06-05 02:33:50.437,104713.93690550917,2081507059062.1726,26325980718.08258,-1.0598547943668102,1,Normal
2025-06-05 03:31:22.828,104988.53940657886,2086644837015.872,26245600461.241364,-0.5296299232211865,1,Normal
2025-06-05 04:33:28.975,104893.31963210164,2084690742763.0437,26017731234.623657,-0.914508219697785,1,Normal
2025-06-05 05:34:06.101,104803.00653561577,2083007176175.2754,25734349492.796528,-0.5955126690637025,1,Normal
2025-06-05 06:33:54.713,104969.96988276378,2085922866371.0508,25555939504.54898,-0.4175095788214289,1,Normal
2025-06-05 07:33:50.076,104845.46369945056,2083904942303.0168,25256772974.135075,-0.7270459132575624,1,Normal
2025-06-05 08:33:51.552,105155.14023932912,2090350616997.214,25360869944.873695,-0.39965402732239363,1,Normal
2025-06-05 09:44:28.998,105041.31459778977,2086760024094.7485,25283287004.481503,-0.5675089526558819,1,Normal
2025-06-05 10:33:08.494,105205.79476428934,2091285029468.6357,24759936487.7468,-0.26157084537039577,1,Normal
2025-06-05 11:33:36.090,104712.53512436998,2081955850338.8914,24599582098.226505,-0.6970861484581148,1,Normal
2025-06-05 12:33:59.675,104523.62839526946,2077405768172.2488,24557882885.186676,-0.8241802971412748,1,Normal
2025-06-05 13:32:21.449,104539.26508580917,2077690676936.2698,24829730511.23654,-0.8233232899358511,1,Normal
2025-06-05 14:33:56.489,104655.89818941445,2079969596895.338,24831623677.015396,-0.8128247693296897,1,Normal
2025-06-05 15:33:25.215,104891.01615811103,2084450188188.0708,24255923944.703968,-0.8220613153960721,1,Normal
2025-06-05 16:31:41.727,104674.14217198468,2080132771431.02,24182109849.450726,-1.0116677425274556,1,Normal
2025-06-05 17:33:38.788,104850.2493595431,2083828655173.6724,21989779875.640934,-0.40950923583230603,1,Normal
2025-06-05 18:30:24.081,105677.91848447545,2100322460861.1272,21955577767.868656,0.6218743679516248,1,Normal
2025-06-05 19:33:46.702,104889.52753735597,2084788313874.537,23561150767.60385,-0.06398076791249707,1,Normal
2025-06-05 20:33:48.201,104536.3237933925,2077515205174.4116,21767963279.645916,-0.33926806509798624,1,Normal
2025-06-05 21:33:50.401,104683.41826234531,2081283979429.8801,23683509367.610134,-0.723411487273673,1,Normal
